day_id,city_id,temperature_celsius,condition_text,wind_kph,wind_degree,pressure_mb,precip_mm,humidity,cloud,feels_like_celsius,visibility_km,uv_index,gust_kph,air_quality_us-epa-index,sunrise,sunset
D0063,C003,23.0,,15.1,210,1014.0,0.0,83,25,25.2,10.0,1.0,24.1,1,06:06 AM,06:05 PM
D0064,C003,22.0,,19.1,190,1014.0,0.0,88,50,24.5,9.0,1.0,16.2,1,06:05 AM,06:05 PM
D0065,C003,23.0,,6.8,200,1015.0,0.0,83,75,25.3,9.0,1.0,16.9,1,06:05 AM,06:04 PM
D0066,C003,23.0,,6.8,200,1016.0,0.0,73,0,25.2,10.0,1.0,21.6,1,06:04 AM,06:04 PM
D0067,C003,22.0,,15.1,190,1013.0,0.0,83,25,24.5,10.0,1.0,19.1,1,06:03 AM,06:04 PM
D0068,C003,22.0,,11.2,200,1012.0,0.0,83,0,24.5,8.0,1.0,21.6,1,06:03 AM,06:04 PM
D0069,C003,26.0,,24.1,270,1008.0,0.0,65,25,28.2,10.0,6.0,31.0,1,06:02 AM,06:04 PM
D0070,C003,23.0,,16.9,170,1013.0,0.0,83,50,25.2,9.0,1.0,22.3,1,06:02 AM,06:04 PM
D0071,C003,23.0,,11.2,210,1014.0,0.0,83,75,25.2,10.0,1.0,22.7,1,06:01 AM,06:04 PM
D0072,C003,22.0,,6.8,240,1013.0,0.0,88,25,24.5,10.0,1.0,18.4,1,06:00 AM,06:04 PM
D0073,C003,23.0,,3.6,261,1013.0,0.0,83,0,25.3,8.0,1.0,17.1,1,06:00 AM,06:04 PM
D0074,C003,23.0,,3.6,236,1013.0,0.0,89,0,25.2,9.0,1.0,16.4,1,05:59 AM,06:03 PM
D0075,C003,23.0,,13.0,190,1014.0,0.0,83,25,25.2,8.0,1.0,18.9,1,05:59 AM,06:03 PM
D0076,C003,23.0,,11.2,180,1013.0,0.0,83,0,25.1,10.0,1.0,14.3,1,05:58 AM,06:03 PM
D0077,C003,23.0,,6.8,180,1013.0,0.0,83,25,25.2,10.0,1.0,18.6,1,05:58 AM,06:03 PM
D0078,C003,23.0,,11.2,190,1013.0,0.0,83,75,25.2,10.0,1.0,27.9,1,05:57 AM,06:03 PM
D0079,C004,29.0,Light Precipitation,15.1,90,1015.0,0.3,79,75,34.0,10.0,1.0,37.4,1,05:53 AM,06:23 PM
D0080,C004,29.0,,16.9,90,1017.0,0.0,75,50,33.7,10.0,1.0,36.7,1,05:54 AM,06:22 PM
D0081,C004,29.0,Cloudy and Overcast,15.1,100,1015.0,0.1,79,50,34.1,10.0,1.0,33.5,1,05:54 AM,06:22 PM
D0082,C004,29.0,,13.0,80,1014.0,0.0,75,25,33.9,10.0,1.0,31.0,1,05:54 AM,06:21 PM
D0083,C004,29.0,,11.2,90,1014.0,0.0,75,50,33.7,10.0,1.0,27.0,1,05:54 AM,06:21 PM
D0084,C004,29.0,,6.8,140,1013.0,0.0,75,25,33.4,10.0,1.0,29.9,1,05:54 AM,06:20 PM
D0085,C004,28.0,,6.8,140,1013.0,0.0,74,25,31.2,10.0,1.0,31.0,1,05:54 AM,06:19 PM
D0086,C004,29.0,,11.2,100,1015.0,0.0,66,25,32.6,10.0,1.0,30.6,1,05:54 AM,06:18 PM
D0087,C004,27.0,Cloudy and Overcast,6.1,100,1015.0,0.1,79,62,29.9,10.0,1.0,31.7,1,05:54 AM,06:18 PM
D0088,C004,26.0,,6.8,70,1014.0,0.1,94,50,28.0,10.0,1.0,27.0,1,05:55 AM,06:17 PM
D0089,C004,29.0,,16.9,50,1012.0,0.0,70,25,33.4,10.0,1.0,30.2,1,05:55 AM,06:16 PM
D0090,C004,29.0,,13.0,40,1011.0,0.2,79,50,33.8,10.0,6.0,29.5,1,05:55 AM,06:15 PM
D0091,C004,30.0,,15.1,250,1011.0,0.1,75,50,34.7,10.0,6.0,11.5,1,05:55 AM,06:14 PM
D0092,C004,28.0,,6.8,220,1011.0,0.0,84,25,31.1,10.0,7.0,29.5,1,05:55 AM,06:14 PM
D0093,C004,30.0,,6.8,230,1011.0,0.0,70,25,35.5,10.0,1.0,21.6,1,05:55 AM,06:13 PM
D0094,C004,29.0,,6.8,150,1010.0,0.0,70,25,33.0,10.0,7.0,29.2,1,05:55 AM,06:12 PM
D0095,C004,32.0,,13.0,170,1013.0,0.0,59,25,40.2,10.0,7.0,24.1,1,05:55 AM,06:10 PM
D0096,C004,29.0,,6.8,110,1012.0,0.0,75,25,33.0,10.0,7.0,20.9,1,05:55 AM,06:10 PM
D0097,C004,29.0,,11.2,50,1012.0,0.0,70,25,33.5,10.0,1.0,23.0,1,05:56 AM,06:09 PM
D0098,C004,29.0,,11.2,80,1012.0,0.0,75,25,33.3,10.0,6.0,25.9,1,05:56 AM,06:09 PM
D0099,C004,29.0,Partly Cloudy,9.0,70,1012.0,0.24,70,25,33.3,10.0,6.0,22.2,1,05:56 AM,06:08 PM
D0100,C004,29.0,,6.1,80,1012.0,0.06,75,25,33.3,10.0,6.0,15.4,1,05:56 AM,06:07 PM
D0101,C004,30.0,,11.2,90,1012.0,0.0,70,50,35.3,10.0,7.0,23.9,1,05:56 AM,06:06 PM
D0102,C004,29.0,,16.9,90,1012.0,0.01,79,50,33.7,10.0,6.0,31.4,1,05:56 AM,06:05 PM
D0103,C004,29.0,Cloudy and Overcast,9.0,100,1012.0,0.02,75,50,33.4,10.0,6.0,30.4,1,05:56 AM,06:04 PM
D0104,C004,30.0,,15.1,90,1010.0,0.02,70,75,36.0,10.0,6.0,28.8,1,05:56 AM,06:04 PM
D0105,C005,9.0,,11.2,70,1023.0,0.0,71,0,8.0,10.0,1.0,13.7,1,07:18 AM,06:34 PM
D0106,C005,11.0,Clear and Sunny,15.1,80,1019.0,0.0,82,0,9.9,10.0,1.0,18.0,1,07:17 AM,06:35 PM
D0107,C005,16.0,,3.6,40,1012.0,0.0,51,0,16.0,10.0,1.0,6.8,1,07:17 AM,06:35 PM
D0108,C005,12.0,,13.0,80,1016.0,0.0,62,0,11.0,10.0,1.0,19.1,1,07:15 AM,06:35 PM
D0109,C005,17.0,,3.6,113,1007.0,0.0,72,0,17.0,10.0,1.0,18.7,2,07:14 AM,06:36 PM
D0110,C005,11.0,,19.1,170,1014.0,0.1,76,0,8.9,10.0,1.0,23.8,1,07:13 AM,06:37 PM
D0111,C005,11.0,Cloudy and Overcast,15.1,170,1013.0,0.2,94,100,9.2,10.0,1.0,21.6,1,07:11 AM,06:37 PM
D0112,C005,10.0,,9.0,170,1022.0,0.0,58,0,9.6,10.0,1.0,9.7,1,07:10 AM,06:38 PM
D0113,C005,10.0,,16.9,110,1028.0,0.0,62,0,7.9,10.0,1.0,23.0,1,07:08 AM,06:39 PM
D0114,C005,12.0,Clear and Sunny,24.1,120,1020.0,0.0,77,0,9.9,10.0,1.0,32.0,1,07:07 AM,06:40 PM
D0115,C005,14.0,,16.9,240,1009.0,0.0,94,75,12.9,10.0,1.0,21.6,1,07:06 AM,06:40 PM
D0116,C005,16.0,,9.0,240,1016.0,0.0,59,0,16.0,10.0,1.0,14.4,1,07:04 AM,06:41 PM
D0117,C005,17.0,,15.1,40,1015.0,0.0,52,0,17.0,10.0,1.0,14.8,1,07:03 AM,06:42 PM
D0118,C005,19.0,,15.1,40,1009.0,0.0,68,0,19.0,10.0,1.0,18.4,1,07:01 AM,06:42 PM
D0119,C005,16.0,,31.0,230,1007.0,0.0,72,0,16.0,10.0,1.0,34.6,1,07:00 AM,06:43 PM
D0120,C005,15.0,,11.2,210,1019.0,0.0,41,0,15.8,10.0,1.0,6.5,1,06:59 AM,06:44 PM
D0121,C005,15.0,,11.2,340,1020.0,0.0,51,0,14.4,10.0,3.0,13.7,1,06:56 AM,06:45 PM
D0122,C005,16.0,,16.9,30,1016.0,0.0,48,0,16.0,10.0,1.0,16.2,1,06:56 AM,06:45 PM
D0123,C005,23.0,,20.2,360,1004.0,0.0,44,0,24.5,10.0,1.0,34.9,1,06:54 AM,06:46 PM
D0124,C005,22.0,,19.1,180,1004.0,0.0,46,0,24.5,10.0,1.0,23.8,2,06:53 AM,06:47 PM
D0125,C005,16.0,Clear and Sunny,28.1,160,1011.0,0.04,51,0,16.0,10.0,1.0,33.3,1,06:51 AM,06:47 PM
D0126,C005,14.0,,19.1,120,1020.0,0.0,63,0,12.9,10.0,1.0,22.3,1,06:50 AM,06:48 PM
D0127,C005,15.0,Partly Cloudy,28.1,120,1019.0,0.0,77,75,13.8,10.0,1.0,25.9,1,06:49 AM,06:49 PM
D0128,C005,16.0,Light Precipitation,20.2,120,1014.0,0.08,94,100,16.0,2.5,1.0,25.6,1,06:47 AM,06:49 PM
D0129,C005,19.0,,9.0,200,1009.0,0.01,83,75,19.0,9.0,1.0,9.7,1,06:46 AM,06:50 PM
D0130,C005,13.0,,25.9,130,1016.0,0.0,82,25,11.2,10.0,1.0,25.7,1,06:44 AM,06:51 PM
D0131,C006,31.0,,9.0,170,1003.0,0.0,26,25,29.0,10.0,8.0,8.3,1,06:26 AM,07:39 PM
D0132,C006,18.0,,6.1,50,1011.0,0.0,60,0,18.0,10.0,5.0,12.6,1,06:27 AM,07:38 PM
D0133,C006,21.0,,9.0,50,1015.0,0.0,46,0,21.0,10.0,1.0,17.3,1,06:27 AM,07:38 PM
D0134,C006,24.0,Clear and Sunny,9.0,40,1015.0,0.0,36,0,25.2,10.0,1.0,22.7,1,06:28 AM,07:36 PM
D0135,C006,25.0,,6.1,130,1014.0,0.0,36,0,25.7,10.0,1.0,21.2,1,06:29 AM,07:35 PM
D0136,C006,26.0,,24.1,50,1012.0,0.0,39,0,26.6,10.0,1.0,23.4,1,06:30 AM,07:33 PM
D0137,C006,25.0,,11.2,60,1010.0,0.0,47,0,26.4,10.0,1.0,17.6,1,06:31 AM,07:32 PM
D0138,C006,23.0,,9.0,90,1013.0,0.0,31,0,23.9,10.0,1.0,14.4,1,06:32 AM,07:30 PM
D0139,C006,24.0,,6.1,80,1014.0,0.0,34,0,24.0,10.0,1.0,16.6,2,06:33 AM,07:28 PM
D0140,C006,22.0,,3.6,10,1012.0,0.0,46,0,24.3,10.0,1.0,20.5,1,06:34 AM,07:27 PM
D0141,C006,25.0,Clear and Sunny,19.1,360,1012.0,0.0,39,0,26.1,10.0,1.0,18.4,1,06:35 AM,07:25 PM
D0142,C006,21.0,,3.6,14,1011.0,0.0,69,25,21.0,10.0,1.0,15.5,1,06:35 AM,07:23 PM
D0143,C006,17.0,,6.1,120,1010.0,0.0,77,37,17.0,10.0,1.0,3.6,1,06:36 AM,07:22 PM
D0144,C006,13.0,,9.0,250,1013.0,0.0,51,0,12.3,10.0,1.0,19.4,1,06:37 AM,07:20 PM
D0145,C006,16.0,,3.6,25,1013.0,0.0,72,0,16.0,10.0,1.0,13.7,1,06:38 AM,07:18 PM
D0146,C006,14.0,Light Precipitation,3.6,10,1017.0,0.0,94,75,14.3,6.0,1.0,5.8,1,06:39 AM,07:17 PM
D0147,C006,25.0,,6.1,140,1015.0,0.0,30,25,24.6,10.0,6.0,5.0,1,06:41 AM,07:13 PM
D0148,C006,18.0,Clear and Sunny,3.6,10,1018.0,0.0,39,0,18.0,10.0,1.0,24.8,1,06:41 AM,07:13 PM
D0149,C006,20.0,,9.0,60,1017.0,0.0,40,0,20.0,10.0,1.0,24.8,1,06:42 AM,07:12 PM
D0150,C006,19.0,,3.6,22,1015.0,0.1,43,0,19.0,10.0,1.0,20.9,1,06:43 AM,07:10 PM
D0151,C006,19.0,,9.0,20,1014.0,0.64,43,0,19.0,10.0,1.0,17.9,1,06:44 AM,07:08 PM
D0152,C006,18.0,,25.9,360,1018.0,0.0,39,0,18.0,10.0,1.0,20.0,1,06:45 AM,07:07 PM
D0153,C006,17.0,,3.6,30,1020.0,0.0,48,0,17.0,10.0,1.0,14.9,1,06:46 AM,07:05 PM
D0154,C006,15.0,,4.0,40,1019.0,0.07,67,25,14.9,10.0,1.0,12.6,1,06:47 AM,07:03 PM
D0155,C006,20.0,,11.2,40,1019.0,0.0,40,0,20.0,10.0,1.0,21.3,1,06:48 AM,07:02 PM
D0156,C006,20.0,,9.0,40,1020.0,0.0,46,0,20.0,10.0,1.0,22.1,1,06:49 AM,07:00 PM
D0157,C007,13.0,,15.1,10,1017.0,0.0,62,0,12.7,10.0,1.0,15.1,1,06:27 AM,05:42 PM
D0158,C007,16.0,,15.1,280,1013.0,0.0,55,75,16.0,10.0,5.0,23.0,1,06:26 AM,05:42 PM
D0159,C007,8.0,,6.8,360,1018.0,0.0,100,75,8.0,10.0,3.0,2.2,1,06:26 AM,05:42 PM
D0160,C007,11.0,,24.1,180,1021.0,0.0,50,0,9.5,10.0,3.0,13.7,1,06:25 AM,05:43 PM
D0161,C007,7.0,,9.0,150,1024.0,0.0,66,0,6.5,10.0,3.0,5.4,1,06:23 AM,05:44 PM
D0162,C007,9.0,,9.0,230,1022.0,0.0,76,0,9.1,10.0,4.0,2.2,1,06:22 AM,05:45 PM
D0163,C007,9.0,,9.0,210,1016.0,0.0,87,100,9.1,10.0,4.0,2.9,1,06:21 AM,05:45 PM
D0164,C007,14.0,,31.0,270,1012.0,0.0,28,0,12.3,10.0,4.0,25.2,1,06:19 AM,05:46 PM
D0165,C007,7.0,,3.6,340,1023.0,0.0,76,0,6.0,10.0,3.0,7.2,1,06:18 AM,05:47 PM
D0166,C007,9.0,,6.8,160,1019.0,0.0,71,0,9.1,10.0,4.0,4.0,1,06:16 AM,05:48 PM
D0167,C007,10.0,,34.9,320,1015.0,0.2,62,50,6.5,10.0,2.0,35.6,1,06:15 AM,05:48 PM
D0168,C007,6.0,,19.1,300,1025.0,0.0,61,0,3.3,10.0,2.0,14.8,1,06:14 AM,05:49 PM
D0169,C007,3.0,,6.1,330,1030.0,0.0,87,0,2.5,10.0,2.0,2.9,1,06:12 AM,05:50 PM
D0170,C007,8.0,,9.0,140,1032.0,0.0,76,0,7.4,10.0,3.0,6.1,1,06:11 AM,05:50 PM
D0171,C007,6.0,,6.1,120,1031.0,0.0,100,75,5.8,10.0,4.0,2.9,1,06:09 AM,05:51 PM
D0172,C007,8.0,,4.0,130,1030.0,0.0,87,0,8.0,10.0,3.0,3.2,1,06:08 AM,05:52 PM
D0173,C007,8.0,,3.6,10,1027.0,0.0,87,0,8.0,10.0,1.0,2.2,1,06:05 AM,05:53 PM
D0174,C007,9.0,Clear and Sunny,9.0,360,1026.0,0.0,93,0,8.4,10.0,4.0,7.9,1,06:05 AM,05:53 PM
D0175,C007,14.0,,9.0,200,1023.0,0.0,67,0,13.6,10.0,4.0,12.2,1,06:04 AM,05:54 PM
D0176,C007,18.0,,24.1,350,1023.0,0.0,49,0,18.0,10.0,4.0,6.1,1,06:02 AM,05:55 PM
D0177,C007,10.0,,3.6,10,1022.0,0.0,76,0,9.7,10.0,4.0,6.9,1,06:01 AM,05:55 PM
D0178,C007,14.0,,3.6,10,1019.0,0.0,72,0,13.5,10.0,5.0,12.2,1,06:00 AM,05:56 PM
D0179,C007,17.0,,31.0,350,1010.0,0.0,42,0,17.0,10.0,5.0,30.2,1,05:58 AM,05:57 PM
D0180,C007,12.0,,9.0,300,1016.0,0.0,44,0,11.0,10.0,4.0,12.0,1,05:57 AM,05:58 PM
D0181,C007,8.0,,9.0,130,1030.0,0.0,71,0,6.9,10.0,3.0,8.3,1,05:55 AM,05:58 PM
D0182,C007,6.0,,9.0,150,1031.0,0.0,81,0,5.8,10.0,3.0,2.9,1,05:54 AM,05:59 PM
D0183,C008,16.0,,19.1,320,1005.0,0.0,82,75,16.0,10.0,4.0,25.9,1,06:07 AM,07:43 PM
D0184,C008,15.0,,15.1,300,1007.0,0.0,82,25,14.0,10.0,1.0,21.6,1,06:09 AM,07:41 PM
D0185,C008,17.0,,13.0,310,1010.0,0.0,63,0,17.0,10.0,1.0,16.2,1,06:09 AM,07:41 PM
D0186,C008,16.0,Clear and Sunny,6.8,250,1017.0,0.1,77,0,16.0,10.0,1.0,13.0,1,06:10 AM,07:39 PM
D0187,C008,18.0,,6.8,250,1018.0,0.0,77,0,18.0,10.0,1.0,8.3,1,06:11 AM,07:37 PM
D0188,C008,17.0,,6.1,220,1021.0,0.0,83,0,17.0,10.0,1.0,9.4,2,06:13 AM,07:35 PM
D0189,C008,17.0,,13.0,320,1026.0,0.0,77,25,17.0,10.0,1.0,18.7,1,06:14 AM,07:33 PM
D0190,C008,13.0,,6.1,320,1026.0,0.0,77,0,13.5,10.0,1.0,7.2,1,06:16 AM,07:31 PM
D0191,C008,13.0,,9.0,190,1024.0,0.0,77,0,13.2,10.0,1.0,10.4,1,06:17 AM,07:29 PM
D0192,C008,15.0,,3.6,119,1023.0,0.0,82,0,15.5,10.0,1.0,9.7,1,06:18 AM,07:27 PM
D0193,C008,15.0,,3.6,118,1023.0,0.0,77,0,15.3,10.0,1.0,11.2,1,06:20 AM,07:25 PM
D0194,C008,18.0,,11.2,180,1020.0,0.0,68,0,18.0,10.0,1.0,9.7,1,06:21 AM,07:23 PM
D0195,C008,19.0,,6.8,160,1019.0,0.0,64,0,19.0,10.0,1.0,4.7,1,06:22 AM,07:21 PM
D0196,C008,17.0,,9.0,170,1017.0,0.0,77,0,17.0,10.0,1.0,2.2,1,06:24 AM,07:19 PM
D0197,C008,19.0,,3.6,293,1014.0,0.0,78,0,19.0,10.0,1.0,5.4,2,06:25 AM,07:16 PM
D0198,C008,20.0,,9.0,160,1013.0,0.0,73,0,20.0,10.0,1.0,2.9,2,06:27 AM,07:14 PM
D0199,C008,23.0,,16.9,340,1019.0,0.0,57,25,24.8,10.0,6.0,15.5,1,06:29 AM,07:10 PM
D0200,C008,16.0,,6.8,330,1021.0,0.0,88,25,16.0,10.0,1.0,10.1,1,06:29 AM,07:10 PM
D0201,C008,16.0,,9.0,150,1019.0,0.0,77,0,16.0,10.0,1.0,17.3,2,06:31 AM,07:08 PM
D0202,C008,19.0,,20.2,150,1017.0,0.0,73,0,19.0,10.0,1.0,11.9,1,06:32 AM,07:06 PM
D0203,C008,19.0,,3.6,137,1017.0,0.0,78,0,19.0,10.0,1.0,14.1,2,06:33 AM,07:04 PM
D0204,C008,22.0,,25.9,280,1010.0,0.0,61,0,24.5,10.0,1.0,33.5,1,06:35 AM,07:02 PM
D0205,C008,17.0,Clear and Sunny,11.2,220,1017.0,0.0,72,0,17.0,10.0,1.0,7.0,1,06:36 AM,07:00 PM
D0206,C008,20.0,,20.2,160,1012.0,0.0,78,0,20.0,10.0,1.0,23.0,1,06:38 AM,06:57 PM
D0207,C008,22.0,,31.0,140,1002.0,0.0,65,25,24.6,10.0,1.0,23.3,1,06:39 AM,06:55 PM
D0208,C008,18.0,,25.9,310,1008.0,0.0,68,25,18.0,10.0,1.0,21.5,1,06:40 AM,06:53 PM
D0209,C009,38.0,,13.0,60,1000.0,0.0,54,0,47.8,10.0,9.0,16.2,4,05:16 AM,06:01 PM
D0210,C009,33.0,Clear and Sunny,9.0,90,1001.0,0.0,67,0,39.8,10.0,1.0,12.2,2,05:17 AM,06:00 PM
D0211,C009,34.0,,13.0,340,1003.0,0.0,71,0,45.3,10.0,1.0,19.4,3,05:17 AM,06:00 PM
D0212,C009,34.0,,20.2,310,1004.0,0.0,60,0,41.7,10.0,1.0,43.2,2,05:17 AM,05:59 PM
D0213,C009,34.0,Clear and Sunny,9.0,270,1003.0,0.0,47,0,41.5,10.0,1.0,28.4,3,05:18 AM,05:58 PM
D0214,C009,33.0,,9.0,140,1002.0,0.0,71,0,41.7,10.0,1.0,13.3,2,05:18 AM,05:57 PM
D0215,C009,33.0,,6.8,110,1001.0,0.0,71,0,42.1,8.0,1.0,5.4,2,05:18 AM,05:56 PM
